ลำดับ,ชื่อวัตถุดิบ,สถานะ,อายุการจัดเก็บ,อุณหภูมิ/สถานที่จัดเก็บ,อุปกรณ์ที่จัดเก็บ,ลักษณะตามมาตรฐาน,หมายเหตุ
1,ชาดำ,อบแล้วพร้อมขาย,2 วัน,อุณหภูมิเย็น,"เจ็ทสเปรย์, ถุงซีลชา, หม้อสแตนเลส, เหยือก",ลักษณะสีเป็นไปตามมาตรฐาน ไม่มีกลิ่นที่ไม่พึงประสงค์และไม่พบสิ่งแปลกปลอม,
1,ชาดำ,ถุงที่เปิดใช้งานแล้ว,1 เดือน,อุณหภูมิห้อง,ปิดถุงชาด้วยก้านหนีบให้สนิท,ลักษณะสีเป็นไปตามมาตรฐาน ไม่มีกลิ่นที่ไม่พึงประสงค์และไม่พบสิ่งแปลกปลอม,
2,ชาซีลอน,อบแล้วพร้อมขาย,2 วัน,อุณหภูมิเย็น,"เจ็ทสเปรย์, ถุงซีลชา, หม้อสแตนเลส, เหยือก",ลักษณะสีเป็นไปตามมาตรฐาน ไม่มีกลิ่นที่ไม่พึงประสงค์และไม่พบสิ่งแปลกปลอม,
2,ชาซีลอน,ถุงที่เปิดใช้งานแล้ว,2 เดือน,อุณหภูมิห้อง,ปิดถุงชาด้วยก้านหนีบให้สนิท,ลักษณะสีเป็นไปตามมาตรฐาน ไม่มีกลิ่นที่ไม่พึงประสงค์และไม่พบสิ่งแปลกปลอม,
3,ชามะลิ,อบแล้วพร้อมขาย,2 วัน,อุณหภูมิเย็น,"เจ็ทสเปรย์, ถุงซีลชา, หม้อสแตนเลส, เหยือก",ลักษณะสีเป็นไปตามมาตรฐาน ไม่มีกลิ่นที่ไม่พึงประสงค์และไม่พบสิ่งแปลกปลอม,
3,ชามะลิ,ถุงที่เปิดใช้งานแล้ว,3 เดือน,อุณหภูมิห้อง,ปิดถุงชาด้วยก้านหนีบให้สนิท,ลักษณะสีเป็นไปตามมาตรฐาน ไม่มีกลิ่นที่ไม่พึงประสงค์และไม่พบสิ่งแปลกปลอม,
4,ชาคามิเลีย,อบแล้วพร้อมขาย,2 วัน,อุณหภูมิเย็น,"เจ็ทสเปรย์, ถุงซีลชา, หม้อสแตนเลส, เหยือก",ลักษณะสีเป็นไปตามมาตรฐาน ไม่มีกลิ่นที่ไม่พึงประสงค์และไม่พบสิ่งแปลกปลอม,
4,ชาคามิเลีย,ถุงที่เปิดใช้งานแล้ว,3 เดือน,อุณหภูมิห้อง,ปิดถุงชาด้วยก้านหนีบให้สนิท,ลักษณะสีเป็นไปตามมาตรฐาน ไม่มีกลิ่นที่ไม่พึงประสงค์และไม่พบสิ่งแปลกปลอม,
5,ชาอู่หลงพีช,อบแล้วพร้อมขาย,2 วัน,อุณหภูมิเย็น,"เจ็ทสเปรย์, ถุงซีลชา, หม้อสแตนเลส, เหยือก",ลักษณะสีเป็นไปตามมาตรฐาน ไม่มีกลิ่นที่ไม่พึงประสงค์และไม่พบสิ่งแปลกปลอม,
5,ชาอู่หลงพีช,ถุงที่เปิดใช้งานแล้ว,3 เดือน,อุณหภูมิห้อง,ปิดถุงชาด้วยก้านหนีบให้สนิท,ลักษณะสีเป็นไปตามมาตรฐาน ไม่มีกลิ่นที่ไม่พึงประสงค์และไม่พบสิ่งแปลกปลอม,
